exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"ppt_lag2, twbs_lag3, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(3,0,1)",3,0,1,44.287033047091334,52.01292026948914,0.5530429926976861,0.46227992579492616
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(1,0,0)",1,0,0,48.673002593479595,54.85371237139785,0.5558937180221026,0.5182785956661284
"ppt_lag3, twbs_lag4, twbs_lag3, twbs_lag2, twbs_lag1","ARIMAX(0,0,0)",0,0,0,17.569883670021827,22.978004725700295,0.5560297247168737,0.5175443822801076
"twbs_lag4, twbs_lag5, twbs_lag1","ARIMAX(2,0,1)",2,0,1,29.47399310821075,34.88211416388922,0.55645060323128,0.5547688544893328
"ppt_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,16.44575210280056,20.308695713999466,0.5573154728521028,0.5130299925644581
"ppt_lag2, twbs_lag3, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.841179486117735,19.704123097316643,0.5660606781619365,0.5043065988081805
"ppt_lag3, twbs_lag3, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(1,0,0)",1,0,0,23.35566867693372,29.53637845485197,0.5673327445036995,0.5214615948665098
"ppt_lag2, twbs_lag1","ARIMAX(0,0,0)",0,0,0,14.766462575077309,17.856817464036432,0.5733946166653765,0.5290729909424439
"ppt_lag3, twbs_lag5, twbs_lag1","ARIMAX(0,0,1)",0,0,1,10.997102188606352,15.632634522045038,0.5739759417744216,0.547579409451445
"twbs_lag4, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,19.711409517974985,24.34694185141367,0.5761210448504132,0.5445073604595989
"ppt_lag3, twbs_lag1","ARIMAX(0,0,1)",0,0,1,8.254346749768589,12.117290360967495,0.576754102611792,0.5447240824250983
"ppt_lag2, twbs_lag3, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,19.70896367861096,25.117084734289428,0.583451692299876,0.5254752622776633
"twbs_lag3, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,20.27689044997504,24.912422783413724,0.5857371835568362,0.5426947507216098
"ppt_lag2, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,17.72757935120447,22.363111684643155,0.5919598929422746,0.5363677328551382
