exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.433287329521,-5640.535906441013,0.1541842709206665,0.1401205458766086
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90","ARIMAX(1,1,2)",1,1,2,-5691.211327457746,-5652.840743094422,0.15418440066741324,0.1401327185638993
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5693.582614380346,-5659.475428279613,0.15421218505295706,0.14012979837154574
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5690.224751007608,-5656.117564906875,0.15422212295687138,0.140156201749633
"tmean_lag135, tmean_lag120, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5686.089918482663,-5651.98273238193,0.15422703403248567,0.14012563111834161
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5691.818354898541,-5653.4477705352165,0.154230996039259,0.1401484051623445
"tmean_lag150, tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5691.805304667194,-5661.961516829053,0.15423301676881504,0.14016210048746267
"tmean_lag135, tmean_lag120, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5683.694520695735,-5645.323936332411,0.1542510510601649,0.14015400422218663
"tmean_lag135, tmean_lag120, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5685.608340450863,-5651.50115435013,0.1542638593252205,0.1401618677641666
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5688.198113938097,-5649.827529574773,0.15431190166018705,0.14024838427684042
"tmean_lag135, tmean_lag120, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5683.381033051255,-5645.010448687931,0.15431995692074413,0.1402176536813463
"tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5689.769185233377,-5655.661999132644,0.15433511393619592,0.14026459477397457
"tmean_lag120, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.415107502661,-5663.834717927111,0.1543877549500207,0.14026829561754783
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5691.256102644886,-5652.885518281561,0.15439877948848066,0.14030400145330457
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.5780263875,-5646.944043761584,0.15440455231887862,0.14031290353680517
